Spingarn Medal 	स्पिनगार्न मेडल 
Aap Ka Pyar 	आप का प्यार 
Sanjh Ki Bela 	सांझ की बेला 
Pyar Ka Karz 	प्यार का कर्ज़ 
Guru Suleman Chela Pahelwan 	गुरु सुलेमान चेला पहलवान 
La raspa 	ला रैस्पा 
Morne van Wyk 	मॉर्न वेन वीक 
South Carolina 	साउथ कैरोलिना 
Nevanlinna Prize 	नेवानलिना प्राइज़ 
Gurudwara Pariwar Wichhoda 	गुरूद्वारा परिवार विछोड़ा 
Francesco Morosini 	फ्रांसेस्को मोरोसिनी 
Somnath Jyotirlinga 	सोमनाथ ज्योतिर्लिंग 
Tommy Hilfiger 	टॉमी हिल्फ़िज़र 
Jon Kent 	जॉन केंट 
Hyundai Motor 	हुंडई मोटर 
Delhi Public School Indirapuram 	डेल्ही पब्ल‍िक स्कूल इंदिरापुरम 
West Spitsbergen 	वेस्ट स्पीट्‍सबर्गन 
Finlandia Prize for Literature 	फिनलैंडिया प्राइज़ फॉर लिट्रेचर 
Mohammad Ashraful 	मोहम्मद अशराफल 
Wohi Bhayanak Raat 	वही भयानक रात 
Ashok Leyland 	अशोक लीलैंड 
Sajiv Murti 	सजीव मूर्ति 
Abdul rabb 	अब्दुल रब्ब 
Colin Stuart 	कॉलिन स्टुअर्ट 
Caldecott Medal 	काल्डेकॉट मेडल 
Fort ord 	फोर्ट ऑर्ड 
Peter Toohey 	पीटर टूहे 
Jack Benny 	जैक बेनी 
Silver Standard Resources 	सिल्वर स्टैंडर्ड रिसोर्सेज़ 
Cameron White 	कैमरॉन व्हाइट 
Order of Leopold 	ऑडर ऑफ लियोपोल्ड 
Order of Merit for the Fatherland 	ऑडर ऑफ मेरिट फॉर द फादरलैंड 
Bukit Tiga Puluh 	बुकिट टिगा पुलुह 
Khan Bahadur 	खान बहादुर 
Chris Kuggeleijn 	क्रिस कगलेजिन 
Sachin Tendulkar 	सचिन तेंडुलकर 
Albert Pinto Ko Gussa Kyon Ata Hai 	अल्बर्ट पिंटो को गुस्सा क्यों आता है 
Century sangbad 	सेंच्युरी संगबद 
Brad Young 	ब्रैड यंग 
Deep Sea Diving 	डीप सी डाइविंग 
Main Hoon Alladin 	मैं हूँ अलादीन 
Shree Krishna Leela 	श्री क़ृष्ण लीला 
University of canberra 	यूनिवर्सिटी ऑफ कैनबेरा 
Ameer Admi Garib Admi 	अमीर आदमी गरीब आदमी 
Hansraj Morarji Public School 	हंसराज मोरारजी पब्ल‍िक स्कूल 
Tom Riz 	टॉम रिज़ 
Dainik agradoot 	दैन‍िक अग्रदूत 
Mera Qasoor Kya Hai 	मेरा कसूर क्या है 
Gurudwara Nagina Ghat 	गुरूद्वारा नगीना घाट 
War of the Grand Alliance 	वार ऑफ द ग्रैंड अलाएंस 
Mohammad Rafique 	मोहम्मद रफीक 
Vinothen John 	विनोथन जॉन 
Two Prudential Plaza 	टू प्रुडेन्शियल प्लाज़ा 
Abdus sami 	अब्दुस सामी 
Raju Kulkarni 	राजू कुलकर्णी 
Descartes Systems Group 	डेसकार्टेस सिस्टम्स ग्रुप 
Gaon Hamara Shehar Tumhara 	गाँव हमारा शहर तुम्हारा 
Portsdown hill 	पोर्ट्‍सडाउन हिल 
Transamerica Pyramid 	ट्रांसमेरीका पिरामिड 
Donald Trump 	डोनाल्ड ट्रंप 
Gudur Junction 	गुदुर जंक्शन 
Apne Paraye 	अपने पराए 
Hum Shakal 	हम शक्ल 
Ratna Lutari 	रत्न लुटारी 
Takhat Shri Kesgarh Sahib, Anandpur Sahib (Punjab) 	तखत श्री केसगढ़ साहिब, आनंदपुर साहिब (पंजाब) 
Hamzah Fansuri 	हमज़ाह फंसूरी 
Piya Milan Ki Aas 	पिया मिलन की आस 
Saint George's Channel 	सेंट जॉर्ज्स चैनल 
Hamari Shaan 	हमारी शान 
Lucky Number 	लकी नंबर 
Dabur India 	डाबर इंडिया 
Neel Mani 	नील मणी 
Dirk Wellham 	डर्क वेल्हैम 
Khush bakht 	खुश बख्त 
Ballard Power Systems 	बेलर्ड पॉवर सिस्टम्स 
Fransworth Art Museum 	फ्रैंसवर्थ आर्ट म्युज़ियम 
Milford haven 	मिल्फोर्ड हैवन 
Paul Collingwood 	पॉल कोलिंगवुड 
Guntur Junction 	गुंटूर जंक्शन 
Hamari Mazil 	हमारी मंज़िल 
My Love 	माय लव 
University of the Sunshine Coast 	यूनिवर्सिटी ऑफ द सनशाइन कोस्ट 
Lorence Oliver 	लॉरेंस ऑलीवर 
Alma Assembly of God's 	अल्मा असेंब्ली ऑफ गॉड्स 
Sadak Chhap 	सड़क छाप 
Bhakt Pralhad 	भक्त प्रहलाद 
Badr al din 	बद्र अल दीन 
National Australia Bank 	नेशनल ऑस्ट्रेलिया बैंक 
Eent Ka Jawab Patthar 	ईंट का जवाब पत्थर 
Apna Bana Lo 	अपना बना लो 
Mike Denness 	माइक डेनेस 
Koyna Dam 	कोयना डैम 
Kmart Holding 	मार्ट होल्डिंग 
Aruna Asif Ali 	अरूणा आसफ अली 
Ahmadpur Junction 	अहमदपुर जंक्शन 
University of Lancaster 	यूनिवर्सिटी ऑफ लैंकेस्टर 
John Maguire 	जॉन मेग्यूर 
Apradhi Kaun 	अपराधी कौन 
Peabody Award 	पीबॉडी अवार्ड 
Hum Ek Hain 	हम एक हैं 
Colorado river 	कोलोरॅडो रिवर 
Dominican merengue 	डॉमनिकन मेरेंग्यू 
Love And Murder 	लव एण्ड मर्डर 
Order of the Falcon 	ऑडर ऑफ द फैल्कन 
Harry S. Truman 	हैरी एस. ट्रूमेन 
Anand Bhavan 	आनंद भवन 
Dainik jugasankha 	दैन‍िक जुगसंखा 
Wal Mart Stores 	वॉल मार्ट स्टोर्स 
Fort meigs 	फोर्ट मेग्स 
Jaago Hua Savera 	जागो हुआ सवेरा 
Paul Walker 	पॉल वॉल्कर 
Aban LoydChiles 	अबान लॉयडचिलीज़ 
Naag Mani 	नाग मणि 
Pritish Nandy Communications 	प्रितिश नंदी कम्युनिकेशन 
Sachche Ka Bolbala 	सच्चे का बोलबाला 
Registan Ki Rani 	रेगिस्तान की रानी 
Goncière Euris 	गॉन्सियर यूरिस 
University of Brighton 	यूनिवर्सिटी ऑफ ब्राइटन 
Aakash Deep 	आकाश दीप 
Bruce Peninsula 	ब्रुस पेनिनसुला 
Hats' Russian War 	हैट्स रशियन वार 
United Technologies 	यूनाइटेड टेक्नोलॉजीज़ 
Chandrashekhar Azad 	चंद्रशेखर आज़ाद 
University of Glamorgan 	यूनिवर्सिटी ऑफ ग्लेमॉर्गन 
Ghar Akhir Ghar Hai 	घर आखिर घर है 
North Dakota 	नॉर्थ डकोटा 
Fort monckton 	फोर्ट मॉन्कटन 
University of North Carolina 	यूनिवर्सिटी ऑफ नार्थ कैरोलीना 
Heer Ranjha 	हीर रांझा 
Sabz Baag 	सब्ज़ बाग 
Most Valuable Player Award 	मोस्ट वैल्युएबल प्लेयर अवार्ड 
Athar Ali Khan 	आथर अली खान 
Fauladi Mukka 	फौलादी मुक्का 
Aung San su ki 	आंग सांग सू की 
Trinity Lutheran 	ट्रीनिटी लुथरेन 
Sainik School Goalpara 	सैनिक स्कूल गोलपारा 
Veinticinco de Mayo 	वेंटिसिन्को डी मेयो 
Naag Mohini 	नाग मोहिनी 
Bagutta Prize 	बगुटा प्राइज़ 
Taqdeer Ka Badshah 	तक़दीर के बादशाह 
Guj Alkali 	गुजरात अल्कली 
Mahabali Hanuman 	महाबली हनुमान 
Graeme Watson 	ग्रीम वॉटसन 
Dhandari Kalan 	धनदरी कलां 
Quintana Maritime Limited 	क्वींटाना मैरीटाइम लिमिटेड 
Mohammad Hafeez 	मोहम्मद हफीज़ 
Mel Brooks 	मॅल ब्रुक्स 
Railway Museum of the Municipality of Kalamata 	रेल्वे म्युज़ियम ऑफ द म्यून‍िस‍िपाल्टी ऑफ कलमाटा 
South Korea 	साउथ कोरिया 
Trillium Award 	ट्रिलियम अवार्ड 
Francisco Carneiro 	फ्रान्सिस्को कॉर्निइरो 
Padma Vibhushan 	पद्‍म विभूषण 
Akila daily 	अकीला डेल्ही 
Naeem Ahmed 	नईम अहमद 
Polish revolt against King Augustus II 	पॉलिश रिवॉल्ट अगेंस्ट किंग अगस्टस ॥ 
Emily Post 	एमिली पोस्ट 
Hashan Tillakaratne 	हशन तिलकरत्ने 
Sundaram Fasteners 	सुंदरम फ़ास्टनर्स 
Essar Steel 	एस्सार स्टील 
Khaled Mahmud 	खालिद महमूद 
ClickSoftware Technologies 	क्लिकसॉफ़्टवेयर टेक्नोलॉजीज़ 
Tum Mere Ho 	तुम मेरे हो 
Haathi Mere Saathi 	हाथी मेरे साथी 
University of Teeside 	यूनिवर्सिटी ऑफ टीसाइड 
Glenmark Pharmaceuticals 	ग्लैनमार्क फ़ार्मास्युटिकल्स 
Steiner Leisure Limited 	स्टेनर लेज़र लिमिटेड 
Jeff Dujon 	जेफ डुजोन 
Trevor Laughlin 	ट्रेवर लाफ्लिन 
Sima Pumacocha 	सिमा प्युमाकोका 
Manulife Financial 	मैन्युलाइफ़ फ़ाइनेंशियल 
Purani Haveli 	पुरानी हवेली 
Scottish Church College, Calcutta 	स्कॉट‍िश चर्च कॉलेज, कैलकटा 
Tareq Aziz 	तारीक अज़ीज़ 
Order of William 	ऑडर ऑफ़ विलियम 
Jonathan Agnew 	जोनाथन एग्न्यू 
Corey Collymore 	कॉरे कॉलीमर 
Cross Country 	क्रॉस कंट्री 
Roger Telemachus 	रॉजर टेलीमैचुस 
Daku Mangal Singh 	डाकू मंगल सिंह 
Dinesh Mongia 	दिनेश मोंगिया 
Tere Bina Kya Jeena 	तेरे बिना क्या जीना 
Cobra Girl 	कोबरा गर्ल 
Order of Beneficence 	ऑडर ऑफ बेनेफिसेंस 
Colour Chem 	कलर कैम 
Nilantha Ratnayake 	निलंथा रत्नायके 
Dinesh Karthik 	दिनेश कार्तिक 
Basit Ali 	बसित अली 
Murdoch University 	मर्डोक यूनिवर्सिटी 
Andrea Doria 	एन्ड्रीया डोरिया 
Chhote Nawab 	छोटे नवाब 
Mushfiqur Rahim 	मुश्फिकर रहीम 
Constellation Energy 	कॉन्सटेलेशन एनर्जी 
Global Sources 	ग्लोबल सोर्सेज़ 
Barberton Friends 	बार्बेरटॉन फ्रेंडस 
Phir Aya Toofan 	फिर आया तूफान 
Fort amherst 	फोर्ट एमहर्स्ट 
James Whitaker 	जेम्स व्हिटेकर 
Ab To Jeene Do 	अब तो जीने दो 
War of Devolution 	वार ऑफ डिवॉल्यूशन 
Neil Semon 	‍नील सिमॉन 
Bunny hop 	बनी हॉप 
Time Warner 	टाइम वॉर्नर 
Lakshmipathy Balaji 	लक्ष्मीपति बालाजी 
Savu Sea 	सावू सी 
State University of New York 	स्टेट यूनिवर्सिटी ऑफ न्यू यॉर्क 
Chit Baragaon 	चित बड़ागांव 
Bombay Ka Chor 	बॉम्बे का चोर 
Munsif daily 	मुंसिफ डेल्ही 
Newberg Christian 	न्यूबर्ग क्रिश्चियन 
Barbara Boxer 	बारबरा बॉक्सर 
George Bernard Shaw 	जॉर्ज बर्नार्ड शॉ 
Roti Kapada Aur Makan 	रोटी कपड़ा और मकान 
Fort mchenry 	फोर्ट मैकहेनरी 
Everest Ind 	एवरेस्ट इंडस्ट्रीज़ 
Peter Kirsten 	पीटर किर्स्टन 
King Faisal Foundation Prize 	किंग फैज़ल फाउंडेशन प्राइज़ 
University of Birmingham 	यूनिवर्सिटी ऑफ बर्मिंघम 
Apna Desh Paraye Log 	अपना देश पराए लोग 
Banke Sipahi 	बाँके सिपाही 
Bal Yogi 	बाल योगी 
Nanjing Museum 	नंज‍िंग म्युज़ियम 
Abdul ganee 	अब्दुल गनी 
Meru Betiri 	मेरु बेतिरी 
Aakhri Cheekh 	आखिरी चीख 
West coast swing 	वेस्ट कोस्ट स्विंग 
First Southern Baptist 	फर्स्ट साउदर्न बैपटिस्ट 
University of Kent 	यूनिवर्सिटी ऑफ केंट 
Devon Malcolm 	डेवॉन मैल्कम 
Aankhon Dekhi 	आँखों देखी 
Alger Hiss 	अल्गर हिस 
China Mobile Communications 	चाइना मोबाइल कम्यूनिकेशंस 
Cosmo Films 	कॉस्मो फ़िल्म्स 
Anglo American 	एंग्लो अमेरिकन 
Pattharon Ka Saudagar 	पत्थरों का सौदागर 
Premio Bancarella 	प्रेमियो बैनकैरेला 
Navios Maritime Holdings 	नैवियोज़ मैरीटाइम होल्डिंग्स 
James Anderson 	जेम्स एण्डरसन 
Modern Matriculation School, Cholvaram Nagar 	मॉडर्न मैट्रिक्युलेशन स्कूल, चोल्वाराम नगर 
Lou Vincent 	लोउ विंसेंट 
Lumps fort 	लम्प्स फोर्ट 
South China 	साउथ चायना 
Watan Ke Rakhwale 	वतन के रखवाले 
Royal Gorge 	रॉयल गॉर्ज 
Aaj Ka Daur 	आज का दौर 
Abdul muta'alee 	अब्दुल मुताअली 
Viv Richards 	विव रिचर्ड्‍स 
The assam tribune 	द असम ट्रिब्यून 
National Medal of Science 	नेशनल मेडल ऑफ साइंस 
Cape Breton 	केप ब्रेटन 
Colvin Taluqadar's College, Lucknow 	कॉल्व‍िन तालुकदार्स कॉलेज, लखनऊ 
Imaan Dharam 	ईमान धरम 
The Carper Award 	द कार्पर अवार्ड 
Faith Missionary Baptist 	फ़ेथ मिशनरी बैपटिस्ट 
Warren Community 	वारेन कम्युनिटी 
Mount Revelstoke 	माउंट रिवेलस्टोक 
Fort nelson 	फोर्ट नेल्सन 
Rajasthan patrika 	राजस्थान पत्रिका 
Sun Trust Plaza 	सन ट्रस्ट प्लाज़ा 
Fort macon 	फोर्ट मैकन 
Sanjh savera 	सांझ सवेरा 
Adolf Hitler 	अडॉल्फ़ हिटलर 
University of Dundee 	यूनिवर्सिटी ऑफ डंडी 
Dil Ne Phir Yaad Kiya 	दिल ने फिर याद किया 
Fatehabad Junction 	फतेहाबाद जंक्शन 
Andros Museum of Modern Art 	एण्ड्रॉस म्युज़ियम ऑफ मॉडर्न आर्ट 
Mere Garib Nawaz 	मेरे गरीब नवाज़ 
Sharif Daku 	शरीफ डाकू 
Sona Koyo Stee 	सोना कोयो स्टी 
Chamara Kapugedera 	चामरा कपुगेदेरा 
Azimganj Junction 	अज़ीमगंज जंक्शन 
Charlton Heston 	चार्लटन हेस्टन 
Parth Kumar 	पार्थ कुमार 
Reddys Labs 	रेड्डी लैब्स 
Fort bokar 	फोर्ट बोकर 
Pyar Ki Maar 	प्यार की मार 
Aamer Nazir 	आमेर नाज़िर 
Irvine Shillingford 	इरविन शिलिंगफोर्ड 
Meet One Greet One 	मीट वन ग्रीट वन 
Fort bovisand 	फोर्ट बॉविसैंड 
Great Victoria 	ग्रेट विक्टोरिया 
Bank of India 	बैंक ऑफ इंडिया 
Giuseppe Miraglia 	ग्यूसेप मिराग्लिया 
Christy Hefner 	क्रिस्टी हैन्फ़र 
Khufia Mahal 	खुफिया महल 
Olympic medalists 	ओलिंपिक मेडलिस्ट 
Do Hawaldar 	दो हवलदार 
Chubu Electric Power 	शुब इलेक्ट्रिक पॉवर 
Solomon Island 	सोलोमन द्वीप 
Chyulu Hills 	च्यूलु हिल्स 
Peter Willey 	पीटर विले 
Mithra Wettimuny 	मिथ्रा वेट्टीमुनी 
Hum Diwane 	हम दीवाने 
Fort edmonton 	फोर्ट एडमॉन्टन 
Mississippi River 	मिसिसिपी रिवर 
Steve Wozniak 	स्टीव वॉज़निक 
Hungarian Revolt 	हंगेरियन रिवॉल्ट 
Mera Ghar Mere Bachche 	मेरा घर मेरे बच्चे 
Coimbatore North Junction 	कोइम्बटूर नॉर्थ जंक्शन 
Summit Awards 	सुमित अवार्ड्‍स 
San Francisco Oakland Bay 	सैन फ्रान्सिस्को ऑकलैंड बे 
Laxmi Pooja 	लक्ष्मी पूजा 
Hydrogenics Corporation 	हाइड्रोजेनिक्स कॉर्पोरेशन 
Charles Darwin 	चार्ल्स डार्विन 
Gokul Ka Raja 	गोकुल का राजा 
Upul Chandana 	उपुल चन्दाना 
Gujarat Ambuja Cement 	गुजरात अंबुजा सीमेंट 
Ganga Ki Saugandh 	गंगा की सौगंध 
Ronald Reagan 	रोनाल्ड रीगन 
Raj Laxmi 	राज लक्ष्मी 
Bentuang Karimun 	बेंटुआंग कारीमुन 
Don Anurasiri 	डॉन अनुरसीरी 
John Wayne 	जॉन वेन 
Varadraja Perumal 	वरदराजा पेरूमाल 
Raste Aur Manzil 	रास्ते और मंज़िल 
Amadou Bamba 	अमादोउ बांबा 
Blue Dart 	ब्लू डार्ट 
Badnam Farishte 	बदनाम फरिश्ते 
Naam O Nishaan 	नाम ओ निशान 
Ravindra Pushpakumara 	रविंद्र पुष्पकुमारा 
Bhai Bahen 	भाई बहन 
Shambhu Maharaj 	शंभू महाराज 
Sadhu Ya Shaitan 	साधू या शैतान 
Australian Catholic University 	ऑस्ट्रेलियन कैथलिक यूनिवर्सिटी 
Museum of the city of New York 	म्युज़ियम ऑफ द स‍िट‍ी ऑफ न्यू यॉर्क 
Jaali Note 	जाली नोट 
Taner Ansari 	तनीर अंसारी 
Mere Lal 	मेरे लाल 
Gurudwara Manikaran 	गुरूद्वारा मनीकरण 
John Rennie 	जॉन रेनी 
Turkish-Transylvanian War 	टर्किश-ट्रांसिल्वेनियन वार 
Pyasi Nadi 	प्यासी नदी 
Naomi Awards 	नाओमी अवार्ड्‍स 
Pyar Kiye Ja 	प्यार किए जा 
Dharmavaram Junction 	धर्मवरम जंक्शन 
Jeevan Naiya 	जीवन नैया 
Tiptree award 	टिपट्री अवार्ड 
The Royal Norwegian Order of Saint Olav 	द रॉयल नॉरवेगन ऑडर ऑफ सेंट ओलव 
Sean Williams 	सीन विलियम्स 
Lanka Dahan 	लंका दहन 
Order of Liberty 	ऑडर ऑफ लिबर्टी 
Florence Nightingale 	फ़्लोरेंस नाइटेंगल 
Dave Callaghan 	डेव कैलाघन 
Robin Singh 	रॉबिन सिंह 
Fort pickens 	फोर्ट पिकन्स 
Grande Sertao Veredas 	ग्रैंड सेरटाओ वेरीडास 
Phoolon Ki Sej 	फूलों की सेज 
Dhampur Sugar 	धामपुर शुगर 
Ajay Jadeja 	अजय जडेजा 
Road To Sikkim 	रोड टू सिक्किम 
Abdus salam 	अब्दुस सलाम 
Kapil Dev 	कपिल देव 
Capilano Suspension 	कॅपीलानो सस्पेंशन 
Bruce Edgar 	ब्रूस एगर 
John Milton 	जॉन मिल्टन 
Aayi Yaad Teri 	आई याद तेरी 
Abdus samad 	अब्दुस समद 
Meri Lalkaar 	मेरा ललकार 
Alan Wells 	ऐलन वेल्स 
Cofre de Perote 	कॉफरे डी पेरोट 
Colin Croft 	कॉलिन क्रोफ्ट 
John Penn 	जॉन पेन 
Gua Cipicung 	गुआ सिपीकुंग 
Christopher Reeve 	क्रिस्टोफर रीव 
Fort vermilion 	फोर्ट वर्मिलियन 
NASA Medal for Exceptional Scientific Achievement 	नासा मेडल फॉर एक्सेप्शनल साइंटीफिक अचीवमेंट 
Abdul tawwaab 	अब्दुल तव्वाब 
Palm Springs 	पाम स्प्रिंग 
Henry Williams 	हेनरी विलियम्स 
Bowden fort 	बोडन फोर्ट 
San Paolo Imi 	सन पेओलो मी 
Track and Field 	ट्रैक एण्ड फील्ड 
Andrew Flintoff 	एण्ड्रयू फ्लिंटॉफ 
Vanburn Holder 	वैनबर्न होल्डर 
China National Petroleum 	चाइना नेशनल पेट्रोलियम 
Ndere Island 	नदेरे आयलैंड 
Seven Miles 	सेवन माइल्स 
Zurich Financial Services 	ज़्यूरिक फ़ाइनेंशियल सर्विसेज़ 
Guy Whittall 	गाए व्हिट्टल 
Julia Child 	जुलिया चाइल्ड 
