Hajgiri	ஹாஜ்கிரி
CavinKare	கெவின் கேர்
Ghaare	காரே
Perin	பெரின்
over	ஓவர்
Mevaaraam	மேவாராம்
Gwinett's	க்வினெட்ஸ்
Family	பேமிலி
Madura	மதுரா
Garments	கர்மெண்ட்ஸ்
University	யூனிவர்சிட்டி
of	ஆஃப்
Dundee	டுண்டீ
Vishvaroop	விஷ்வரூப்
Mark	மார்க்
Butcher	பட்சர்
Natesh	நடேஷ்
Prahlaad	பிரஹலாத்
Raghu	ரகு
Muraina	முரைனா
Shikarpuri	ஷிகார்புரி
Bajarangabalee	பஜ்ரங்பாலி
Mahadev	மஹாதேவ்
Verma	வர்மா
Gudivada	குடிவாடா
Junction	ஜங்ஷன்
Abqurah	அப்குரா
Susie	சுஸி
Bishmillah	பிஸ்மில்லா
Ki	கி
Barkat	பர்கத்
Adair	அடைய்ர்
Douglas	டக்ளஸ்
Hondo	ஹோண்டோ
Antarnaad	அந்தர்நாத்
Valley	வேலி
Forge	ஃப்பார்ஜ்
Sevier	செவியர்
Marianne	மரியேன்
Williamson	வில்லியம்சன்
Walt	வால்ட்
Disney	டிஸ்னி
Belgium	பெல்ஜியம்
Gerry	ஜெரி
Charles	சார்லஸ்
Coventry	கொவெண்ட்ரி
Dulip	துலீப்
Liyanage	லியனாகே
Hencoate	ஹென்கோயாட்
Balaveer	பலவீர்
Jagat	ஜகத்
Mohini	மோகினி
Akhand	அகந்த்
Saubhagyawati	சௌபாக்யவதி
Pinquillo	பின்குயில்லோ
Abdul	அப்துல்
zaleel	ஸாலீல்
Order	ஆர்டர்
of	ஆஃப்
Christ	க்றைஸ்ட்
Khoums	கௌம்ஸ்
Basimah	பஸீமா
Raffaello	ரஃபேலோ
Protactinium	பிரோடாக்டினியம்
Achintya	அச்சின்டியா
Amaanat	அமாநாத்
Nityapriya	நித்யப்ரியா
Debashish	டெபாஷிஷ்
National	நேஷனல்
Museum	மியூஸியம்
of	ஆஃப்
Taiwanese	தாய்வானீஸ்
Literature	லிட்டரெச்சர்
The	த
Doon	டூன்
School,	ஸ்கூல்,
Dehradun	டெஹ்ராடூன்
Kaushik	கெளஷிக்
Mark	மார்க்
Richardson	ரிச்சட்சன்
Fatehnagar	ஃபதேஹ்நகர்
Ghazalan	கஜாலன்
Asiya	அஸியா
Waqt	வக்த்
Ki	கி
Deewar	தீவார்
Zahid	ஜாஹித்
Fazal	ஃபாசல்
Bombay	பாம்பே
Masjid	மஸ்ஜித்
Order	ஆர்டர்
of	ஆஃப்
National	நேஷனல்
Redevelopment	ரீடெவலப்மெண்ட்
Merit	மெரிட்
Preet	ப்ரீத்
Na	நா
Jane	ஜானே
Reet	ரீத்
Gellert	ஜெல்லர்ட்
Venugopal	வேனுகோபால்
Rao	ராவ்
Golden	கோல்டன்
gate	கேட்
San	சான்
Gabriel	கேப்ரியல்
Salif	சலிஃப்
Jhinuk	ஜீனக்
Jody	ஜோடி
Kuntee	குன்ட்டி
Keena	கீணா
Madhuchanda	மதுசந்தா
MetLife	மெட்லைப்
Carioca	காரியோகா
Alif	ஆலிஃப்
Laila	லைலா
Jawab	ஜவாப்
Minarwa	மினர்வா
Matilda	மட்டில்டா
Wahban	வஹ்பன்
Kathleen	கேத்லீன்
Kaviraj	கவிராஜ்
Hans	ஹான்ஸ்
Christian	க்றிஸ்டியன்
Andersen	ஆண்டர்சன்
Award	அவார்ட்
Black	பிளாக்
Kisan	கிஸான்
Aur	அவுர்
Bhagwan	பாக்வான்
Hughes	ஹ்யூக்ஸ்
Medal	மெடல்
Hare	ஹரே
Kanch	கன்ச்
Ki	கி
Churiyan	சுரியான்
Zandra	ஜாண்ட்ரா
Padma	பத்ம
Shri	ஸ்ரீ
Kananbala	கானான்பாலா
Juma'	ஜுமா
Sudrashan	சுதர்ஷன்
University	யூனிவர்சிட்டி
of	ஆஃப்
London	லண்டன்
Marvel	மார்வெல்
Man	மேன்
Danny	டானி
Morrison	மோரிஸன்
Gurudwara	குருத்வாரா
Tibbi	டிப்பி
Sahib	சாஹிப்
Minati	மினாதி
Sant	சன்த்
Tulsidas	துல்சிதாஸ்
Nivriti	நிவ்ரிதி
Ricky	ரிக்கி
Ponting	பாண்டிங்
Rufiyaa	ருஃபியா
Alipur	அலிபூர்
Duar	டுவார்
Hatyara	ஹத்யாரா
Badawi	பதாவி
The	த
Goulandris	கெளலான்டிரிஸ்
Museum	மியூஸியம்
of	ஆஃப்
Natural	நேச்சுரல்
History	ஹிஸ்டரி
Aalingan	ஆலிங்கன்
Lal	லால்
Bangla	பாங்லா
Nithar	நிதார்
Karambelkar	கரம்பெல்கர்
Raghavendra	ராகவேந்திரா
Naatu	நாது
Sun	சன்
Pharma	ஃபார்மா
Terry	டெர்ரி
Duffin	டஃப்பின்
Vidrumalataa	வித்ருமலதா
Nehra	நெஹ்ரா
Express	எக்ஸ்பிரஸ்
Scripts	ஸ்கிரிப்ட்ஸ்
Pico	பீகோ
de	டீ
Tancítaro	டான்சிடாரோ
Rick	ரிக்
Darling	டார்லிங்
Naata	நாதா
Sundram	சுந்தரம்
Albert	ஆல்பர்ட்
Einstein	ஐன்ஸ்டின்
Floriane	ஃப்ளோரியேன்
Hemaraaj	ஹேமராஜ்
Piastres	பயாஸ்டிரெஸ்
International	இன்டர்நெஷனல்
Paper	பேப்பர்
Ashrafi	அஷ்ராஃப்பி
Miya	மியா
Kichocha	கிசோசா
Sharif	ஷாரிஃப்
Jet	ஜெட்
Airways	ஏர்வேஸ்
Gujjar	குஜ்ஜார்
Dharuna	தருணா
Bahamas	பஹாமாஸ்
Hasina	ஹசினா
Maan	மான்
Jayegi	ஜாயேகி
Desiree	டெசிரீ
Naresh	நரேஷ்
Boordhi-Zaffer	பூர்தி-ஸாஃப்பர்
Aansoo	ஆன்சூ
Ban	பன்
Gaye	கயே
Phool	பூல்
Paanch	பான்ச்
Ratan	ராதன்
Wright	ரைட்
Awards	அவார்ட்ஸ்
Kurde	குர்தே
Do	தோ
Ankhen	ஆங்கேன்
Anise	அனிஸ்
Samjhauta	சம்ஜோதா
Vaahid	வாஹித்
Banda	பாண்டா
Junction	ஜங்ஷன்
Robert	ராபர்ட்
Williams	வில்லியம்ஸ்
Franklyn	ஃப்ராங்க்ளின்
Rose	ரோஸ்
Resurrection	ரிசரக்ஷன்
Lutheran	லுதெரன்
Shan	ஷான்
E	இ
Hatim	ஹாதிம்
Vaasavey	வாசவி
Emele	எமிலி
abo	அபோ
Vijendra	விஜேந்திரா
Brooke	புரூக்
Walker	வாக்கர்
Shubhang	ஷுபாங்
Albert	ஆல்பர்ட்
Gore	கோர்
Jack	ஜாக்
Nicholson	நிகோல்சன்
Cody	கோடி
Biraj	பிரஜ்
Bahu	பாஹு
Vrahadeekaran	விராஹதீகரன்
Elita	எலிட்டா
Umapati	உமாபதி
Daniel	டேனியல்
Erasmus	இராஸ்மஸ்
Bates	பேட்ஸ்
Bhubaneswar	புவனேஸ்வர்
McPhail	மெக்பைல்
Bosporus	போஸ்போரஸ்
Tinu	டினு
Yohannan	யோஹன்னன்
Amareek	அமாரீக்
Seedha	சீதா
Raasta	ராஸ்தா
Izzat	இஸ்ஸாத்
Aabroo	ஆப்ரூ
El	எல்
Sabinal	சாபினல்
Thais	தாயிஸ்
Aftab	அஃப்தப்
Ahmed	அஹ்மெத்
Vedikaa	வேதிகா
Gary	கேரி
Brent	ப்ரெண்ட்
Reon	ரியோன்
King	கிங்
Nalayak	நாலாயக்
Awen	அவேன்
Hannan	ஹன்னான்
Sarkar	சர்கார்
Kolina	கோலினா
Indrakarman	இந்திராகர்மன்
University	யூனிவர்சிட்டி
of	ஆஃப்
Portsmouth	போர்ட்ஸ்மௌத்
Arunachaleshwar	அருணாசலேஸ்வர்
Bindiya	பிந்தியா
Meghamala	மேகமாலா
Sarfarosh	சரஃப்பரோஷ்
Sarkari	சர்க்காரி
Mehman	மெஹ்மான்
Pacific	பஸிஃபிக்
Rim	ரிம்
Aduz	அதூஸ்
zahir	ஸாஹிர்
Vinson	வின்சன்
Bhadresh	பத்ரீஷ்
Jimmy	ஜிம்மி
Cook	குக்
Hillcrest	ஹில்கிரேஸ்ட்
Baptist	பேப்டிஸ்ட்
Willie	வில்லி
Watson	வாட்சன்
Vishvaatmaa	விஷ்வாத்மா
Nathdwara	நத்வாரா
Temple	டெம்பிள்
Ciara	சியார்ரா
Jahura	ஜாஹூரா
Khara	கர
Khota	கோதா
Katelynn	கேட்லின்
Pearlie	பேர்லி
Gramophone	கிராமஃபோன்
Singer	சிங்கர்
Brucklay	பிரக்லே
Cutter	கட்டர்
Ganagapur	கனகாபூர்
Road	ரோட்
Pujari	பூஜாரி
Suvarchalaa	சுவர்ச்சலா
Easter	ஈஸ்டர்
Shukti	ஷுக்தி
Philana	ஃபிலானா
Aerona	ஏரோனா
Amani	அமானி
Rio	ரியோ
Negro	நீக்ரோ
Afeef	அஃபீஃப்
Baidehi	பைதேஹி
Prasanna	பிரசன்னா
Addis	அதிஸ்
Ababa	அபேப
Stuart	ஸ்டூவர்ட்
Williams	வில்லியம்ஸ்
Bhadrachalam	பத்ராசலம்
Kalelkar	கலேகர்
Aojla	ஓஜ்லா
Groupe	குரூப்
Caisse	கைசே
Dépargme	டீபார்க்மே
Amu	அமு
Darya	தார்யா
Fort	ஃப்போர்ட்
san	சான்
felipe	ஃப்பெலிப்
del	டெல்
morro	மோரோ
Gardenia	கார்ட்னீயா
Funtoosh	ஃபன்டூஷ்
Saeed	சயீத்
Azad	ஆசாத்
Averoff	அவெராஃப்
Gallery	கேலரி
Steve	ஸ்டீவ்
Wonder	ஓண்டர்
Nazar	நஸார்
Ka	கா
Shikar	ஷிகார்
Graeme	கிரேமெ
Beard	பியர்ட்
Caterpillar	கேட்டர்பில்லர்
Shriram	ஸ்ரீராம்
TransFi	ட்ரான்ஸ்ஃபி
Boomps-a-daisy	பூம்ப்ஸ்-ஆ-டெய்ஸி
Amravati	அமராவதி
TOP	டாப்
Tankers	டேங்கர்ஸ்
Shumaysah	ஷுமைஷா
Dabholkar	தபோல்கர்
Beesvi	பீஸ்வி
Sadi	சாதி
Pulastya	புலாஸ்தயா
Balee	பாலீ
Welspun	வெல்ஸ்பன்
Guj	குஜ்
Malik	மலிக்
Kaalaj	காலாஜ்
Bruce	ப்ரூஸ்
Medal	மெடல்
Jareer	ஜரீர்
Elsass	எல்சாஸ்
Chizarira	சிஜாரிரா
Dermatology	டெர்மெட்டாலஜி
Chakra	சக்ரா
Sarhaddi	சர்ஹாதி
Chakia	சக்கியா
Teesta	தீஸ்தா
Firozpur	ஃபிரோஸ்பூர்
City	சிட்டி
Jimuta	ஜிமுதா
Nisal	நிசால்
Fernando	ஃபெர்னாண்டோ
Quitaiplas	க்விடாய்ப்லாஸ்
Ginata	ஜீனாதா
Galena	கலேனா
Narayani	நாராயணி
Sanjh	சன்ஜ்
Ki	கி
Bela	பேலா
Sean	சீன்
Pan	பான்
Nikita	நிகிதா
Khrushchev	க்ருஷேவ்
Elisa	எலிஸா
Amit	அமித்
Mishra	மிஷரா
Kurt	கர்ட்
Wilkinson	வில்கின்சன்
Zahed	ஸாஹெத்
Gilani	கிலானி
Abhinanda	அபினான்தா
Manik	மாணிக்
Shahida	ஷாஹிதா
Bari	பாரி
Brahman	ப்ராஹ்மன்
Ganadhyaksha	கானாத்யாக்ஷா
Museum	மியூஸியம்
of	ஆஃப்
Makpo	மாக்போ
University	யூனிவர்ஸிட்டி
Safiyy	சஃபிய்
Barabanki	பராபங்கி
Baheej	பஹீஜ்
Somnath	சோம்நாத்
Jyotirlinga	ஜோதிர்லிங்க
Bishani	பிஷானி
Danzon	டான்ஸன்
Jamnagar	ஜம்நகர்
Meri	மேரி
Izzat	இஸ்ஸாத்
Bachao	பச்சாஓ
Namak	நமக்
Haram	ஹராம்
Maldives	மால்டீவ்ஸ்
Absaroka	அப்சரோகோ
Olsen	ஓல்சென்
Absi	அப்ஸி
Amalsad	அமல்சாத்
Pushpita	புஷ்பிதா
Delhi	டெல்ஹி
Public	பப்ளிக்
School	ஸ்கூல்
Indirapuram	இந்திரபுரம்
Percell	பெர்செல்
Mohammad	மொஹம்மத்
Ashraful	அஷ்ராஃப்புல்
Chiraagh	சிராக்
Jo	ஜோ
Huwa	ஹுவா
So	சோ
Bhool	பூல்
Ja	ஜா
Mashhud	மஷூத்
Jhanjhar	ஜஞ்சார்
Mount	மவுண்ட்
Olympus	ஒலிம்பஸ்
Jadui	ஜாடுய்
Angoothi	அங்கூதி
Freed	ஃப்ரீட்
Sitara	சிதாரா
Tabalah	தபலா
El-marees	எல்-மாரீஸ்
Abdul	அப்துல்
rabb	ராப்
Vakil	வாகில்
Babu	பாபு
Martin	மார்ட்டின்
Kent	கென்ட்
Tymon	டைமன்
Sukriti	சுக்ரிதி
Shumaylah	ஷுமைலா
Robert	ராபர்ட்
Anderson	ஆன்டர்சன்
Naples	நேப்பல்ஸ்
Videocon	வீடியோகான்
American	அமெரிக்கன்
Intl	இன்டல்
Group	குரூப்
Patrick	பேட்ரிக்
Stewart	ஸ்டூவர்ட்
Nanowalia	நானோவாலியா
Baharia	பஹாரியா
Levana	லெவனா
Ullas	ஊல்லாஸ்
Nevina	நெவினா
Yamashiro	யாமாஷிரோ
Maru	மாரு
Jamuna	ஜமுனா
Fort	ஃப்போர்ட்
ord	ஆர்ட்
Nippon	நிப்பான்
Mining	மைனிங்
Holdings	ஹோல்டிங்ஸ்
Zamrud	ஜம்ருத்
Kumudini	குமுதினி
Millimes	மில்லிமெஸ்
Ridley	ரிட்லி
Jacobs	ஜேக்கப்ஸ்
Atahar	அதாஹார்
Motocross	மோட்டோக்ராஸ்
Champa	சம்பா
Kali	காளி
Jubilant	ஜுபிலண்ட்
Brendon	ப்ரெண்டன்
Kuruppu	குருப்பு
Ek	ஏக்
Naav	நாவ்
Kinare	கினாரே
Do	தோ
Srivilliputtur	ஸ்ரீவில்லிபுத்தூர்
Uttar	உத்தர்
Dakshin	தக்ஷின்
Celebration	செலிபிரேஷன்
Community	கம்யுனிட்டி
Jack	ஜாக்
Benny	பென்னி
Silver	சில்வர்
Standard	ஸ்டான்டர்ட்
Resources	ரிசோசர்ஸ்
Jabir	ஜபீர்
Glen	கிளென்
Chapple	சாப்பிள்
Angulimal	அங்குலிமல்
Jovita	ஜோவிதா
Yogee^dr	யோகீதர்
Badel	பாதல்
Camilla	காமில்லா
Baden	பாடென்
Auraiya	ஒளரையா
Kannauj	கனவ்ஜ்
Elroy	எல்ராய்
Indianapolis	இன்டியானாபோலிஸ்
Kolhatkar	கொல்ஹத்கர்
Vishven_dr	விஷ்வேந்தர்
Pyase	பியாஸெ
Panchhi	பன்ச்சி
Teva	டெவா
Pharmaceutical	பார்மாசெட்டிக்கல்
Industries	இண்டஸ்டிரீஸ்
Limited	லிமிடெட்
Raleigh	ராலெய்க்
Eshwar	இஷ்வர்
Rakeeb	ரகீப்
Bukit	புகித்
Tiga	டீகா
Puluh	புலு
Shajee'ah	ஷாஜீயா
Aslana	அஸ்லானா
Adityaa	அதித்யா
Imtihal	இம்டிஹால்
Albert	ஆல்பெர்ட்
Pinto	பின்டோ
Ko	கோ
Gussa	குஸ்ஸா
Kyon	கியோன்
Ata	அதா
Hai	ஹை
Deven_dr	தேவேந்தர்
Honeywell	ஹனிவெல்
Darlita	டார்லிதா
Shrinath	ஸ்ரீநாத்
Dharma	தர்மா
Mosquitos	மஸ்கிடோஸ்
Shahi	ஷாஹி
Farman	ஃப்பர்மான்
Hanover	ஹானோவர்
Shree	ஸ்ரீ
Krishna	கிருஷ்னா
Leela	லீலா
Vaaknis	வாக்னிஸ்
Kaziranga	காஜிரங்கா
Janan	ஜேனன்
Deepak	தீபக்
Chopra	சோப்ரா
Janak	ஜனக்
Tom	டாம்
Riz	ரிஸ்
Dainik	டைனிக்
agradoot	அக்ராதூத்
Mera	மேரா
Qasoor	கஸூர்
Kya	கியா
Hai	ஹை
Vishwendra	விஷ்வேந்திரா
Parni	பர்ணி
Franklin	ஃப்பிரான்க்லின்
D.	டி.
Roosevelt	ரூஸெவெல்ட்
Open	ஓபன்
Door	டோர்
Baptist	பேப்டிஸ்ட்
Vinothen	வினோதன்
John	ஜான்
Vair	வெயிர்
Two	டு
Prudential	புருடென்ஷியல்
Plaza	பிளாஸா
John	ஜான்
Lanen	லேனன்
Nirjharee	நிர்ஜரீ
Prajavani	பிரஜாவானி
Valeria	வலேரியா
Hashim	ஹஷிம்
Puri	பூரி
Grayson	கிரேஸன்
Buhayyah	புஹாய்யா
Hanuman	ஹனுமன்
Janm	ஜன்ம்
Descartes	டெஸ்காட்ஸ்
Systems	ஸிஸ்டெம்ஸ்
Group	குரூப்
Gaon	காவோன்
Hamara	ஹமாரா
Shehar	ஷெஹர்
Tumhara	துமாரா
Sharla	ஷர்லா
Sharma	சர்மா
Badriprasad	பத்ரிபிரசாத்
Ramu	ராமு
Dada	தாதா
Arva	அர்வா
Dharam	தரம்
Veer	வீர்
Baat	பாத்
Ek	ஏக்
Raat	ராத்
Ke	கே
Saujan_y	சௌஜன்ய்
Kirloskar	கிர்லோஸ்கர்
Ferro	ஃபெர்ரோ
Prix	ப்ரிக்ஸ்
Renaudot	ரெனாடட்
Prabhat	பிரபாத்
Kannamangai	கண்ணமங்கை
Cendant	சென்டன்ட்
Bahadur	பஹதுர்
Jeevan	ஜீவன்
Dobry	டாப்ரி
Nakesh	நாகேஷ்
Apne	அப்னே
Paraye	பராயே
Hum	ஹம்
Shakal	ஷகல்
Paul	பால்
Downton	டவுன்டவுன்
Ahlaadit	அஹ்லாதித்
Hamzah	ஹாம்ஸா
Fansuri	ஃப்பான்சுரி
Yogeshvaree	யோகேஷ்வரீ
Ladaaku	லாடாகு
Tom	டாம்
Hanks	ஹாங்க்ஸ்
Dozakh	தோஸாக்
King	கிங்
Hussein	ஹுசேன்
Natasha	நடாஷா
Lucky	லக்கி
Number	நம்பர்ஸ்
Ibthaj	இப்தாஜ்
Kenny	கென்னி
Benjamin	பெஞ்சமின்
Dhansukh	தன்சுக்
Etalan	எடாலன்
de	டி
Yennenga	என்னேங்கா
Manju	மஞ்சு
Kapoor	கபூர்
Sada	சதா
Suhagan	சுஹாகான்
Cornerstone	கார்னர்ஸ்டோன்
Aya	அயா
Sawan	சாவன்
Jhoom	ஜூம்
Ke	கே
International	இண்டர்நேஷனல்
Grandmasters	க்ராண்ட்மாஸ்டர்ஸ்
Rajatim	ரஜதிம்
Fort	ஃப்போர்ட்
pepperrell	பெப்பரெல்
Donna	டோனா
Agni	அக்னி
Prem	பிரேம்
Aabheer	ஆபீர்
Whyeth	வையத்
Ballabgarh	பல்லாப்கார்
Wahibah	வஹிபா
Deogan	டியோகன்
Road	ரோட்
Maine	மேய்ன்
Maina	மைனா
Ulfah	ஊல்ஃபா
Datia	டாதியா
Kishore	கிஷோர்
Ian	ஐயான்
Healy	ஹேலி
Shahajaadee	ஷஹஜாதீ
Pamir	பாமிர்
Kabuli	கபுலி
Khan	கான்
Sadak	சதக்
Chhap	சாப்
Bhadraaksha	பாத்ராக்ஷா
Power	பவர்
Corp	கார்ப்
Of	ஆப்
Canada	கேனடா
Qasoomah	காசூமா
Tyrone	டைரோன்
Shaan_ti	ஷாந்தி
Esme	எஸ்மே
Templeton	டெம்பிள்டன்
Prize	ப்ரைஸ்
Fed	ஃபெட்
Cup	கப்
Shail	ஷைல்
sutaa	சுதா
National	நேஷனல்
Australia	ஆஸ்ட்ரேலியா
Bank	பேங்க்
Janardan	ஜனார்தன்
Qalandar	காலாந்தர்
Baba	பாபா
Auliya	ஆலியா
Eent	ஈன்ட்
Ka	கா
Jawab	ஜவாப்
Patthar	பதார்
Mike	மைக்
Denness	டென்னெஸ்
Foziah	ஃபோஸியா
Kamalaj	காமாலாஜ்
Kmart	கேமார்ட்
Holding	ஹோல்டிங்
Omar	ஓமர்
Khayyam	காய்யம்
McCulloch	மெக்குலோஷ்
Imtiyaz	இம்டியாஸ்
Eldon	எல்டோன்
Vishishat	விஷிஷத்
Hind	ஹிந்த்
Ka	கா
Lal	லால்
Shishiraant	ஷிஷிராந்த்
koch	கோச்
industries	இண்டஸ்டிரீஸ்
Quade	குவேத்
Nestlé	நெஸ்லே
Philips	ஃபிலிப்ஸ்
India	இந்தியா
Queen	குயின்
Elizabeth	எலிசபத்
I	I
Geratpur	கெராட்பூர்
Cybille	சிபில்
Mehfil	மெஹஃப்பில்
Anar	அனர்
Bala	பாலா
Dreadnought	டிரெட்னாட்
Daag	தாக்
Bainchi	பாயிஞ்சி
Whitby	விட்பி
Peabody	பீபாடி
Award	அவார்ட்
Taj	தாஜ்
GVK	ஜிவிகே
Hotels	ஹோட்டல்ஸ்
Love	லவ்
And	அண்ட்
Murder	மர்டர்
Firozpur	ஃபிரோஸ்பூர்
Sayf	சயிஃப்
Collingsworth	காலிங்க்ஸ்வர்த்
Gounaropoulos	கோனாரோபவுலோஸ்
Museum	மியூஸியம்
of	ஆஃப்
the	த
Municipality	முனிசிப்பாலிட்டி
of	ஆஃப்
Zografou	ஸோகிராஃப்போ
Kigali	கிகலி
Abdul	அப்துல்
muqsit	முக்சித்
Tiffany	டிஃப்பானி
Rahul	ராஹுல்
Dravid	டிராவிட்
Chitrarekha	சித்ராரேகா
Kazantzakis	கஸான்ட்ஸாகிஸ்
Museum	மியூஸியம்
Paul	பால்
Adams	ஆடம்ஸ்
Oriental	ஓரியண்டல்
Bank	பேங்க்
of	ஆஃப்
Commerce	காமர்ஸ்
Georgian	ஜார்ஜியன்
Bay	பே
Chandana	சந்தனா
Naag	நாக்
Mani	மணி
Sandra	சாண்ட்ரா
Day	டே
O'connor	ஓ'கானர்
Pritish	ப்ரிடிஷ்
Nandy	நந்தி
Communications	கம்யூனிகேஷன்ஸ்
Sachche	ஸச்சே
Ka	கா
Bolbala	போல்பலா
Walgreen	வால்கிரீன்
Manali	மனாஸ்வி
Adilakshman	ஆதிலக்ஷ்மன்
Qurbani	குர்பானி
Nixie	நிக்ஸி
Ek	ஏக்
Do	தோ
Teen	தீன்
Shridula	ஸ்ரீதுலா
Dafiyah	டாஃபியா
Dharmadhikari	தர்மதிகாரி
Sharad	ஷரத்
Kaduthuruthi	காடுதுருத்தி
Dhondi	தோண்டி
Kufra	குஃப்ரா
Veeravrat	வீரவ்ரத்
Muzaffer	முஸ்ஸாஃப்ஃபெர்
Ozak	ஓஸாக்
Leann	லீன்
Chandrashekhar	சந்திரசேகர்
Azad	ஆஸாத்
Eshana	இஷானா
Aaj	ஆஜ்
Ka	கா
Gundaraj	குண்டாராஜ்
Rajneesh	ரஜ்னீஷ்
India	இந்தியா
Chakdayala	சக்தயாளா
Pran	ப்ராண்
Genero	ஜெனிரோ
Sahani	சஹானி
Robert	ராபர்ட்
Redford	ரெட்ஃபோர்ட்
Bahr	பாஹர்
Chitchor	சிட்சோர்
Bakr	பாகர்
North	நார்த்
Dakota	டாகோடா
Elvin	எல்வின்
Antoinette	ஆன்டனியோட்
Penney	பென்னி
Badr	பாதர்
Ratan	ரதன்
Manjari	மஞ்சாரி
Talisma	தலிஸ்மா
Snorkeling	ஸ்னோர்கெலிங்
Noyes	நாயெஸ்
House	ஹவுஸ்
Museum	மியூஸியம்
Sabz	சப்ஸ்
Baag	பாக்
Bihar	பீஹார்
Beguine	பெகுயின்
Caitlin	கைட்லின்
Raghuveer	ரகுவீர்
Abdul	அப்துல்
wajeed	வாஜீத்
Fauladi	ஃபௌலதி
Mukka	முக்கா
Kangan	கன்கன்
Requin	ரிகுயின்
Osmium	ஓஸ்மியம்
Murshida	முர்ஷிதா
Angaraaj	அங்கராஜ்
Padmapati	பத்மபதி
Darritola	தாரிடோலா
Allen	அல்லன்
Sohni	சோஹ்னி
Adrienne	அட்ரியான்
Veinticinco	வெய்ன்டிசின்கோ
de	டி
Mayo	மாயோ
Neil	நீல்
Johnson	ஜான்சன்
Graeme	கிரேமெ
Watson	வாட்சன்
Dhandari	தண்டாரி
Kalan	காலன்
Ratna	ரத்னா
Lutari	லுதாரி
Luton	லூட்டன்
Meridian	மெரிடியன்
School	ஸ்கூல்
Rait	ரயித்
South	சௌத்
Korea	கொரியா
Trillium	ட்ரில்லியம்
Award	அவார்ட்
Shyamari	ஷியாமாரி
Padma	பத்ம
Vibhushan	விபூஷன்
Mobile	மொபைல்
Bhooshit	பூஷித்
Charlot	சார்லட்
National	நேஷனல்
Museum	மியூஸியம்
of	ஆஃப்
Denmark	டென்மார்க்
Abdul	அப்துல்
maajid	மாஜித்
Gautam	கெளதம்
Ituran	இதுரான்
Location	லோக்கேஷன்
and	அண்ட்
Control	கன்டிரோல்
Irfan	இர்ஃபான்
Museum	மியூஸியம்
of	ஆஃப்
Television	டெலிவிஷன்
and	அண்ட்
Radio	ரேடியோ
Murti	மூர்த்தி
Daryl	டாரில்
Tuffey	டாஃப்பே
Kaanade	கானதே
China	சீனா
National	நேஷனல்
Petroleum	பெட்ரோலியம்
Ghiyath	கியாத்
Fort	ஃப்போர்ட்
stanwix	ஸ்டான்விக்ஸ்
Liberace	லிபரேஸ்
Harbhajan	ஹர்பஜன்
Singh	சிங்
Hashan	ஹஷன்
Tillakaratne	திலகரத்னே
Gurinder	குரிந்தர்
Essar	எஸ்ஸார்
Steel	ஸ்டீல்
Kaveri	காவேரி
Khaled	காலெத்
Mahmud	மாஹ்முத்
ClickSoftware	கிளிக்சாப்ட்வேர்
Technologies	டெக்னாலஜீஸ்
Love	லவ்
