Spingarn	ಸ್ಪಿನ್‌ಗರ್ನ್
McPhail	ಮ್ಯಾಕ್‌ಫಾಯ್ಲ್
Bosporus	ಬಾಸ್ಪೋರಸ್
Pyasi	ಪ್ಯಾಸಿ
Sham	ಶಾಮ್
Cirocco	ಸಿರೋಕೋ
Suwo	ಸುವೋ
Slalom	ಸ್ಲಾಲಂ
Vedikaa	ವೇದಿಕಾ
Gary	ಗ್ಯಾರಿ
Brent	ಬ್ರೆಂಟ್
Reon	ರಿಯೋನ್
King	ಕಿಂಗ್
Svarnim	ಸ್ವರ್ಣಿಮ್
Agnikumaar	ಅಗ್ನಿಕುಮಾರ್
Richard	ರಿಚರ್ಡ್
Burton	ಬರ್ಟನ್
Order	ಆರ್ಡರ್
of	ಆಫ್
Scientific	ಸೈಂಟಿಫಿಕ್
and	ಆಂಡ್
Technological	ಟೆಕ್ನಾಲಾಜಿಕಲ್
Merit	ಮೆರಿಟ್
Scotia	ಸ್ಕಾಟಿಯಾ
Sea	ಸೀ
Ruso	ರೂಸೋ
Sheikh	ಶೇಕ್
Shebeli	ಶೆಬೇಲಿ
Kolina	ಕೊಲಿನಾ
Indrakarman	ಇಂದ್ರಕರ್ಮನ್
Shreemayi	ಶ್ರೀಮಯಿ
Glacier	ಗ್ಲೇಸಿಯರ್
Al	ಅಲ್
Sahariar	ಸಹಾರಿಯರ್
Pretvam	ಪ್ರೀತ್ವಂ
Helle	ಹೆಲೆ
Joel	ಜೋಲ್
Osment	ಓಸ್ಮೆಂಟ್
Sarfarosh	ಸರಫರೋಶ್
Sarkari	ಸರಕಾರಿ
Mehman	ಮೆಹಮಾನ್
Pacific	ಪೆಸಿಫಿಕ್
Rim	ರಿಮ್
Jab	ಜಬ್
Pyar	ಪ್ಯಾರ್
Kise	ಕಿಸೀ
Se	ಸೇ
Hota	ಹೋತಾ
Hai	ಹೈ
Akhfash	ಅಖ್ಫಾಶ್
Konkani	ಕೊಂಕಣಿ
The	ದ
morning	ಮಾರ್ನಿಂಗ್
quick	ಕ್ವಿಕ್
Jimmy	ಜಿಮ್ಮಿ
Cook	ಕುಕ್
Hillcrest	ಹಿಲ್‌ಕ್ರೆಸ್ಟ್
Baptist	ಬ್ಯಾಪ್ಟಿಸ್ಟ್
Willie	ವಿಲ್ಲೀ
Watson	ವಾಟ್ಸನ್
Walter	ವಾಲ್ಟರ್
Kohn	ಕೋನ್
Cornelia	ಕಾರ್ನೇಲಿಯಾ
Jirair	ಜಿರೈರ್
Krishnakanta	ಕೃಷ್ಣಕಾಂತ
Katelynn	ಕೇಟ್‌ಲಿನ್
Alastair	ಅಲಾಸ್ಟೇರ್
Cook	ಕುಕ್
Din	ದಿನ್
Dahade	ದಹಾಡೆ
Raj	ರಾಜ್
Tarang	ತರಂಗ್
Ganagapur	ಗಂಗಾಪುರ್
Road	ರೋಡ್
Auckland	ಆಕ್ಲೆಂಡ್
University	ಯುನಿವರ್ಸಿಟಿ
of	ಆಫ್
Technology	ಟೆಕ್ನಾಲಜಿ
Ronnie	ರಾನೀ
Irani	ಇರಾನಿ
Shahid	ಶಹೀದ್
Anwar	ಅನ್ವರ್
Haar	ಹಾರ್
Jeet	ಜೀತ್
Arjun	ಅರ್ಜುನ್
Pandit	ಪಂಡಿತ್
Berbak	ಬೆರ್ಬಾಕ್
Emirates	ಎಮಿರೇಟ್ಸ್
tower	ಟವರ್
One	ಒನ್
George	ಜಾರ್ಜ್
Bush	ಬುಷ್
Chainwa	ಚೈನವಾ
Susane	ಸುಸೇನ್
Divyesh	ದಿವ್ಯೇಶ್
Confederation	ಕಾನ್ಫೆಡರೇಶನ್
Caribbean	ಕೆರೆಬಿಯನ್
Vraksharaaj	ವೃಕ್ಷರಾಜ
Amani	ಅಮನಿ
Dakaniya	ದಕಾನಿಯಾ
Talav	ತಲಾವ್
Natwar	ನಟವರ್
Baidehi	ಬೈದೇಹಿ
Prasanna	ಪ್ರಸನ್ನ
Bindiya	ಬಿಂದಿಯಾ
Chamkegi	ಚಮಕೇಗೀ
Butte	ಬುಟ್ಟೆ
Tallinn	ತಲ್ಲಿನ್
Stuart	ಸ್ಟುವರ್ಟ್
Williams	ವಿಲಿಯಮ್ಸ್
Bhadrachalam	ಭದ್ರಾಚಲಂ
Dinesh	ದಿನೇಶ್
Aojla	ಓಜ್ಲಾ
Amu	ಅಮು
Darya	ದರ್ಯಾ
Auberta	ಆಬೆರ್ಟಾ
Evergreen	ಎವರ್‌ಗ್ರೀನ್
Community	ಕಮ್ಯುನಿಟಿ
Omar	ಒಮರ್
Henry	ಹೆನ್ರಿ
Studs	ಸ್ಟಡ್ಸ್
Orchards	ಆರ್ಚಾರ್ಡ್ಸ್
Community	ಕಮ್ಯುನಿಟಿ
Cashlin	ಕಾಶ್ಲಿನ್
Harvey	ಹಾರ್ವೇ
Awards	ಅವಾರ್ಡ್ಸ್
Hassium	ಹ್ಯಾಸಿಯಂ
Khota	ಖೋಟಾ
Paisa	ಪೈಸಾ
Saeed	ಸಯೀದ್
Azad	ಆಜಾದ್
Farasat	ಫರಾಸತ್
Offenpest	ಆಫೆನ್‌ಪೆಸ್ಟ್
Caterpillar	ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್
Leeds	ಲೀಡ್ಸ್
Shiva	ಶಿವಾ
Pandora	ಪಂಡೋರಾ
Madhura	ಮಧುರಾ
Fuller	ಫುಲರ್
Boomps-a-daisy	ಬೂಮ್‌ಪ್ಸ್-ಎ-ಡೈಸಿ
Abdul	ಅಬ್ದುಲ್
azim	ಅಜೀಮ್
Madhuri	ಮಾಧುರಿ
Indra	ಇಂದ್ರ
Pulastya	ಪುಲಸ್ತ್ಯ
Balee	ಬಾಲೀ
Raghib	ರಘಿಬ್
Ainslie	ಐನ್‌ಸ್ಲಿ
Tiple	ಟಿಪ್ಲ್
Elata	ಇಲಾಟಾ
Jahan	ಜಹಾನ್
Hind	ಹಿಂದ್
Constr	ಕನ್ಸ್‌ಸ್ಟ್ರಕ್ಷನ್
Punarjanam	ಪುನರ್ಜನ್ಮ್
Proffitt	ಪ್ರಾಫಿಟ್
Abhinav	ಅಭಿನವ್
Roster	ರೋಸ್ಟರ್
Shag	ಶಾಗ್
Maghavaajit	ಮಘವಾಜಿತ್
Monisha	ಮೋನಿಶಾ
Livingstone	ಲಿವಿಂಗ್‌ಸ್ಟೋನ್
Chakia	ಚಕಿಯಾ
Major	ಮೇಜರ್
League	ಲೀಗ್
Lacrosse	ಲಾಕ್ರೊಸ್
Community	ಕಾಮ್ಯುನಿಟಿ
Service	ಸರ್ವಿಸ್
Award	ಅವಾರ್ಡ್
Jimuta	ಜಿಮುತಾ
Creighton	ಕ್ರೈಟನ್
Kural	ಕುರಾಲ್
Jai	ಜೈ
Jagannath	ಜಗನ್ನಾಥ್
Ginata	ಗಿನಾಟಾ
Marasi	ಮರಾಸಿ
Chambal	ಚಂಬಲ್
Ke	ಕೆ
Daku	ಡಾಕೂ
Sanjh	ಸಾಂಝ್
Ki	ಕಿ
Bela	ಬೆಲಾ
Manusela	ಮನುಸೆಲಾ
Vaitarna	ವೈತರ್ಣಾ
Dobh	ದೋಭ
Bahali	ಬಹಾಲಿ
Gambler	ಗ್ಯಾಂಬ್ಲರ್
Amit	ಅಮಿತ್
Mishra	ಮಿಶ್ರಾ
Netball	ನೆಟ್‌ಬಾಲ್
Bari	ಬಾರಿ
Brahman	ಬ್ರಹಾಮನ್
Nevanlinna	ನೆವನ್ಲಿನ್ನಾ
Prize	ಪ್ರೈಜ್
Safiyy	ಸಫೀ
Balakrishna	ಬಾಲಕೃಷ್ಣ
Somnath	ಸೋಮನಾಥ
Jyotirlinga	ಜ್ಯೋತಿರ್ಲಿಂಗ
Kahnuwal	ಕಹನೂವಾಲಾ
Binaur	ಬಿನಾರ್
Danzon	ಡ್ಯಾನ್ಸನ್
Kaylee	ಕೇಲೀ
Somakaantaa	ಸೋಮಕಾಂತಾ
Hyundai	ಹ್ಯುಂಡೈ
Motor	ಮೋಟರ್
Oda	ಓಡಾ
Sakunosuke	ಸಕುನೋಸುಕೆ
Prize	ಪ್ರೈಜ್
Michael	ಮೈಕೇಲ್
Bevan	ಬೆವೆನ್
Thracian	ತರಾಸಿಯನ್
Amalsad	ಅಮಲ್‌ಸದ್
Nobel	ನೊಬೆಲ್
Peace	ಪೀಸ್
Prize	ಪ್ರೈಜ್
Bidhan	ಬಿಧಾನ್
Nagar	ನಗರ್
Jalan	ಜಲನ್
Chiraagh	ಚಿರಾಗ್
Jo	ಜೋ
Huwa	ಹುವಾ
So	ಸೋ
Bhool	ಭೂಲ್
Ja	ಜಾ
Wohi	ವಹೀ
Bhayanak	ಭಯಾನಕ್
Raat	ರಾತ್
Ashok	ಅಶೋಕ್
Leyland	ಲೀಲ್ಯಾಂಡ್
Ghayda	ಗಾಯದಾ
Irma	ಇರ್ಮಾ
Kaydence	ಕೆಡೆನ್ಸ್
Freed	ಫ್ರೀಡ್
Brasschaet	ಬ್ರ್ಯಾಸ್‌ಚೆಟ್
fort	ಫೋರ್ಟ್
Harnett	ಹಾರ್ನೆಟ್
Henry	ಹೆನ್ರಿ
Fielding	ಫೀಲ್ಡಿಂಗ್
Sukriti	ಸುಕೃತಿ
Robert	ರಾಬರ್ಟ್
Anderson	ಆಂಡರ್ಸನ್
Naples	ನೇಪಲ್ಸ್
American	ಅಮೆರಿಕನ್
Intl	ಇಂಟ್
Group	ಗ್ರೂಪ್
Subroto	ಸುಬ್ರತೊ
Banerjee	ಬ್ಯಾನರ್ಜಿ
Kailashnath	ಕೈಲಾಶ್‌ನಾಥ್
Munich	ಮ್ಯೂನಿಚ್
Mazloom	ಮಜಲೂಮ್
Saint	ಸೆಂಟ್
olaf's	ಒಲಾಫ್ಸ್
castle	ಕ್ಯಾಸ್ಟರ್
Ullas	ಉಲ್ಲಾಸ್
Ibtihal	ಇಬ್ತಿಹಾಲ್
Ramavatar	ರಾಮಾವತಾರ್
Nevina	ನೆವಿನಾ
Skirrow	ಸ್ಕಿರೋ
Shahid	ಶಹೀದ್
Nazir	ನಜೀರ್
Jalangi	ಜಲಾಂಗಿ
Samrendru	ಸಮರೇಂದು
Atahar	ಅತಹರ್
Banco	ಬಾಂಕೋ
Do	ಡೊ
Brasil	ಬ್ರಾಸಿಲ್
Champa	ಚಂಪಾ
Kali	ಕಲೀ
Ladki	ಲಡಕಿ
Sahyadri	ಸಹ್ಯಾದ್ರಿ
Ki	ಕಿ
Brendon	ಬ್ರೆಂಡನ್
Kuruppu	ಕುರುಪ್ಪು
Amala	ಅಮಲಾ
Ek	ಏಕ್
Naav	ನಾವ್
Kinare	ಕಿನಾರೆ
Do	ದೋ
Srivilliputtur	ಶ್ರೀವಿಲ್ಲಿಪುತ್ತೂರು
Aacharysut	ಆಚಾರ್ಯಸುತ
Tirukkottiyur	ತಿರುಕ್ಕೊಟ್ಟಿಯೂರ್
Celebration	ಸೆಲೆಬ್ರೇಶನ್
Community	ಕಮ್ಯೂನಿಟಿ
Jack	ಜ್ಯಾಕ್
Benny	ಬೆನ್ನಿ
Chalta	ಚಲ್ತಾ
Purza	ಪುರ್ಜಾ
Glen	ಗ್ಲೆನ್
Chapple	ಚಾಪಲ್
Angulimal	ಅಂಗುಲಿಮಾಲ್
Sailing	ಸೈಲಿಂಗ್
Order	ಆರ್ಡರ್
of	ಆಫ್
Leopold	ಲಿಯೋಪೊಲ್ಡ್
Baden	ಬದೆನ್
Naldurg	ನಲ್‌ದುರ್ಗ್
Indianapolis	ಇಂಡಿಯಾನಪೊಲಿಸ್
Chaad	ಛಾಡ್
Kolhatkar	ಕೋಲ್ಹಾಟ್‌ಕರ್
Banaskantha	ಬನಸ್ಕಂದ
Pyase	ಪ್ಯಾಸಿ
Panchhi	ಪಂಛೀ
Xaviere	ಜಾವಿಯರ್
Sushil	ಸುಶೀಲ್
Eshwar	ಈಶ್ವರ್
Bukit	ಬುಕಿಟ್
Tiga	ಟಿಗಾ
Puluh	ಪುಲುಹ್
Fishing	ಫಿಶಿಂಗ್
Shajee'ah	ಶಜೀಹ
Hedley	ಹೆಡ್ಲಿ
Howarth	ಹೋವರ್ತ್
Adityaa	ಆದಿತ್ಯಾ
Imtihal	ಇಮ್ತಿಹಾಲ್
Albert	ಆಲ್ಬರ್ಟ್
Pinto	ಪಿಂಟೊ
Ko	ಕೊ
Gussa	ಗುಸ್ಸಾ
Kyon	ಕ್ಯು
Ata	ಆತಾ
Hai	ಹೈ
Deven_dr	ದೇವೇಂದ್ರ್
Geoff	ಜೆಫ್
Allott	ಅಲಾಟ್
Shrinath	ಶ್ರೀನಾಥ್
Dharma	ಧರ್ಮಾ
Mosquitos	ಮಾಸ್ಕ್ವಿಟೋಸ್
Miffin	ಮಿಫಿನ್
Nitin	ನಿತಿನ್
Ariyalur	ಅರಿಯಲೂರ್
Shree	ಶ್ರೀ
Krishna	ಕೃಷ್ಣ
Leela	ಲೀಲಾ
University	ಯುನಿವರ್ಸಿಟಿ
of	ಆಫ್
canberra	ಕ್ಯಾನ್‌ಬೆರಾ
Kaziranga	ಕಾಜಿರಂಗಾ
Marjanah	ಮರ್ಜನಾ
Jacob	ಜಾಕೊಬ್
Martin	ಮಾರ್ಟಿನ್
Order	ಆರ್ಡರ್
of	ಆಫ್
National	ನ್ಯಾಶನಲ್
Redevelopment	ರಿಡೆವೆಲಪ್‌ಮೆಂಟ್
Merit	ಮೆರಿಟ್
Gupt	ಗುಪ್ತ್
Shastra	ಶಾಸ್ತ್ರ
Janak	ಜನಕ್
Dainik	ದೈನಿಕ್
agradoot	ಅಗ್ರದೂತ್
Bansdih	ಬನ್ಸದಿ
Road	ರೋಡ್
Stavita	ಸ್ಟೇವಿಟಾ
Ratanalaal	ರತನ್‌ಲಾಲ್
Gurudwara	ಗುರುದ್ವಾರ
Nagina	ನಗೀನಾ
Ghat	ಘಾಟ್
War	ವಾರ್
of	ಆಫ್
the	ದಿ
Grand	ಗ್ರಾಂಡ್
Alliance	ಅಲಯನ್ಸ್
Gummidipundi	ಗುಮ್ಮಿಡಿಪೂಂಡಿ
Mohammad	ಮೊಹ್ಮದ್
Rafique	ರಫೀಕ್
Kaukab	ಕಾಕುಬ್
Vair	ವೈರ್
Ahmad	ಅಹಮದ್
al-Bakkai	ಅಲ್-ಬಕ್ಕಾಯ್
al-Kunti	ಅಲ್-ಕುಂತಿ
Chakob	ಚಾಕೋಬ್
Rexam	ರೆಕ್ಸಾಮ್
Kolthekar	ಕೋಲ್ತೆಕರ್
Indiana	ಇಂಡಿಯಾನಾ
University	ಯುನಿವರ್ಸಿಟಿ
Bloomington	ಬ್ಲೂಮಿಂಗ್ಟನ್
Devahuti	ದೇವಾಹುತಿ
Buhayyah	ಬುಹೈಯಾ
Achalaa	ಅಚಲಾ
Aladdin	ಅಲಾದೀನ್
Knowledge	ನಾಲೆಡ್ಜ್
Systems	ಸಿಸ್ಟಮ್ಸ್
Limited	ಲಿಮಿಟೆಡ್
Portsdown	ಪೋರ್ಟ್ಸ್‌ಡೌನ್
hill	ಹಿಲ್
Sharma	ಶರ್ಮಾ
Prabhaa	ಪ್ರಭಾ
Badriprasad	ಬದ್ರಿಪ್ರಸಾದ್
Sudi	ಸುದಿ
Sharda	ಶಾರದಾ
January	ಜಾನವರಿ
Yashomati	ಯಶೋಮತಿ
Panduranga	ಪಾಂಡುರಂಗ
Saujan_y	ಸೌಜನ್ಯ
Boschbeek	ಬಾಸ್ಕ್‌ಬೀಕ್
fort	ಫೋರ್ಟ್
Rasavant	ರಸವಂತ್
Ferry	ಫೆರಿ
Donald	ಡೊನಾಲ್ಡ್
Trump	ಟ್ರಂಪ್
Kannamangai	ಕನ್ನಾಮನಗೈ
Cendant	ಸೆಂಡೆಂಟ್
Manjaree	ಮಂಜರೀ
Sara	ಸಾರಾ
Jahan	ಜಹಾ
Hamara	ಹಮಾರಾ
Ahlaadit	ಆಹ್ಲಾದಿತ್
Shaswati	ಶಾಶ್ವತಿ
Megha	ಮೇಘಾ
Museum	ಮ್ಯೂಸಿಯಂ
of	ಆಫ್
